ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
218558_s_at	8.56e-08	2.34e-10	8.198655	13.55348	1.2790803	MRPL39	mitochondrial ribosomal protein L39
212407_at	1.07e-07	2.98e-10	8.12461	13.31975	1.7487848	METTL13	methyltransferase like 13
202983_at	1.20e-07	3.43e-10	8.081821	13.184434	2.1856996	HLTF	helicase like transcription factor
203028_s_at	1.20e-07	3.44e-10	-8.081128	13.182241	-1.470248	CYBA	cytochrome b-245 alpha chain
206283_s_at	1.23e-07	3.58e-10	8.068672	13.142813	3.9541453	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor
213012_at	1.37e-07	4.10e-10	8.027352	13.011917	1.9578507	NEDD4	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
201387_s_at	1.37e-07	4.12e-10	8.025735	13.006792	1.0931134	UCHL1	ubiquitin C-terminal hydrolase L1
203404_at	1.48e-07	4.53e-10	7.997401	12.916934	2.1215362	ARMCX2	armadillo repeat containing, X-linked 2
219355_at	1.50e-07	4.66e-10	7.988739	12.889449	1.8936748	CXorf57	chromosome X open reading frame 57
205775_at	1.77e-07	5.63e-10	7.930973	12.705968	1.2443947	FAM50B	family with sequence similarity 50 member B
213628_at	1.77e-07	5.65e-10	7.929649	12.70176	1.014866	CLCC1	chloride channel CLIC like 1
204655_at	2.04e-07	6.60e-10	-7.882383	12.551395	-2.8153281	CCL5	C-C motif chemokine ligand 5
38964_r_at	2.12e-07	6.96e-10	-7.866444	12.500644	-0.7085424	WAS	Wiskott-Aldrich syndrome
204454_at	2.25e-07	7.46e-10	7.845265	12.43317	1.5655782	LDOC1	leucine zipper down-regulated in cancer 1
202192_s_at	2.27e-07	7.64e-10	-7.837818	12.409438	-1.9811842	GAS7	growth arrest specific 7
203946_s_at	2.37e-07	8.09e-10	7.820486	12.354181	2.3723445	ARG2	arginase 2
211795_s_at	2.63e-07	9.10e-10	-7.784666	12.239896	-2.2815731	FYB	FYN binding protein
213005_s_at	3.01e-07	1.06e-09	7.737702	12.089887	2.8845798	KANK1	KN motif and ankyrin repeat domains 1
218669_at	3.01e-07	1.07e-09	-7.736211	12.085123	-1.0352824	RAP2C	RAP2C, member of RAS oncogene family
221922_at	3.05e-07	1.10e-09	7.727762	12.058115	1.9605594	GPSM2	G-protein signaling modulator 2
49452_at	3.05e-07	1.11e-09	7.725146	12.04975	1.3736182	ACACB	acetyl-CoA carboxylase beta
208971_at	3.09e-07	1.14e-09	7.716791	12.023035	1.370531	UROD	uroporphyrinogen decarboxylase
213733_at	3.18e-07	1.20e-09	-7.702231	11.976466	-1.4992094	MYO1F	myosin IF
218252_at	3.18e-07	1.20e-09	7.700862	11.972087	1.1137324	CKAP2	cytoskeleton associated protein 2
65585_at	3.31e-07	1.29e-09	7.678273	11.899801	1.4306769	FAM86DP///FAM86B2///FAM86FP///FAM86B1///FAM86C1	family with sequence similarity 86, member D, pseudogene///family with sequence similarity 86 member B2///family with sequence similarity 86, member A pseudogene///family with sequence similarity 86 member B1///family with sequence similarity 86 member C1
202431_s_at	3.31e-07	1.30e-09	7.676287	11.893441	2.8259533	MYC	v-myc avian myelocytomatosis viral oncogene homolog
212533_at	3.31e-07	1.30e-09	7.675712	11.891603	1.7982452	WEE1	WEE1 G2 checkpoint kinase
211067_s_at	3.31e-07	1.31e-09	-7.67508	11.889578	-2.6722971	GAS7	growth arrest specific 7
219099_at	3.34e-07	1.33e-09	-7.669249	11.870912	-2.294279	TIGAR	TP53 induced glycolysis regulatory phosphatase
218712_at	3.66e-07	1.48e-09	7.638161	11.771335	0.8095575	C1orf109	chromosome 1 open reading frame 109
204647_at	3.75e-07	1.53e-09	-7.627092	11.735862	-3.7092032	HOMER3	homer scaffolding protein 3
210882_s_at	3.97e-07	1.64e-09	7.606294	11.669182	1.0548316	TRO	trophinin
209814_at	4.22e-07	1.76e-09	7.585008	11.600904	1.0821692	ZNF330	zinc finger protein 330
204232_at	4.30e-07	1.82e-09	-7.575833	11.571464	-3.3784544	FCER1G	Fc fragment of IgE receptor Ig
201991_s_at	4.41e-07	1.88e-09	-7.565039	11.536819	-0.8276221	KIF5B	kinesin family member 5B
200661_at	4.57e-07	1.97e-09	-7.551149	11.492222	-1.5973716	CTSA	cathepsin A
203160_s_at	4.66e-07	2.03e-09	7.542481	11.464386	1.1619282	RNF8	ring finger protein 8
202227_s_at	4.70e-07	2.07e-09	7.536489	11.445141	1.4812832	BRD8	bromodomain containing 8
207469_s_at	4.90e-07	2.18e-09	7.521014	11.395424	1.78023	PIR	pirin
213506_at	5.26e-07	2.36e-09	7.49652	11.316694	3.3423886	F2RL1	F2R like trypsin receptor 1
208939_at	5.29e-07	2.40e-09	7.491911	11.301874	1.3668106	SEPHS1	selenophosphate synthetase 1
209994_s_at	5.49e-07	2.51e-09	7.477813	11.256534	2.2339224	ABCB4///ABCB1	ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1
213227_at	5.50e-07	2.54e-09	7.474384	11.245505	1.3293432	PGRMC2	progesterone receptor membrane component 2
204618_s_at	5.72e-07	2.67e-09	7.459613	11.197981	1.3813101	GABPB1	GA binding protein transcription factor beta subunit 1
210446_at	5.76e-07	2.71e-09	7.454637	11.181968	1.5919799	GATA1	GATA binding protein 1
204612_at	6.04e-07	2.89e-09	7.435375	11.119964	1.1507282	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
200653_s_at	6.04e-07	2.90e-09	-7.434655	11.117647	-1.056716	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
200078_s_at	6.11e-07	2.96e-09	-7.428255	11.097041	-1.1307883	ATP6V0B	ATPase H+ transporting V0 subunit b
218472_s_at	6.26e-07	3.07e-09	7.417024	11.060873	1.2350214	PELO	pelota homolog (Drosophila)
209993_at	6.26e-07	3.09e-09	7.415637	11.056402	2.8356448	ABCB1	ATP binding cassette subfamily B member 1
219421_at	7.15e-07	3.56e-09	7.372942	10.918823	1.3505491	TTC33	tetratricopeptide repeat domain 33
214684_at	7.74e-07	3.90e-09	-7.345711	10.83101	-1.0481452	MEF2A	myocyte enhancer factor 2A
204510_at	7.74e-07	3.93e-09	7.343378	10.823484	1.6137492	CDC7	cell division cycle 7
212348_s_at	7.74e-07	3.96e-09	7.340892	10.815462	0.9550095	KDM1A	lysine demethylase 1A
202911_at	7.76e-07	4.02e-09	7.336057	10.799864	1.5969862	MSH6	mutS homolog 6
219182_at	7.76e-07	4.04e-09	7.334733	10.795592	1.0097569	TMEM231	transmembrane protein 231
202330_s_at	8.44e-07	4.43e-09	7.306967	10.705984	2.0035012	UNG	uracil DNA glycosylase
201136_at	8.91e-07	4.75e-09	-7.286345	10.639398	-1.3543881	PLP2	proteolipid protein 2
205603_s_at	8.91e-07	4.76e-09	-7.285862	10.637841	-1.2068609	DIAPH2	diaphanous related formin 2
205942_s_at	1.00e-06	5.39e-09	7.248627	10.517548	2.3034878	ACSM3	acyl-CoA synthetase medium-chain family member 3
206380_s_at	1.02e-06	5.51e-09	-7.241595	10.494818	-3.4316486	CFP	complement factor properdin
219733_s_at	1.05e-06	5.73e-09	7.230051	10.457502	1.1490345	SLC27A5	solute carrier family 27 member 5
205541_s_at	1.07e-06	5.93e-09	7.219864	10.424565	2.3262621	GSPT2	G1 to S phase transition 2
216250_s_at	1.11e-06	6.20e-09	-7.20653	10.381447	-2.5753728	LPXN	leupaxin
218194_at	1.11e-06	6.23e-09	7.20507	10.376724	2.1216434	REXO2	RNA exonuclease 2
218966_at	1.16e-06	6.57e-09	7.188969	10.32464	3.1131144	MYO5C	myosin VC
203042_at	1.16e-06	6.64e-09	-7.185877	10.314635	-1.6190967	LAMP2	lysosomal associated membrane protein 2
204795_at	1.22e-06	7.12e-09	7.164792	10.246402	1.0399973	PRR3	proline rich 3
213415_at	1.22e-06	7.18e-09	7.162442	10.238797	1.9099907	CLIC2	chloride intracellular channel 2
210377_at	1.22e-06	7.19e-09	7.16186	10.236913	2.0777466	ACSM3	acyl-CoA synthetase medium-chain family member 3
204065_at	1.22e-06	7.20e-09	7.161755	10.236573	0.4382294	CHST10	carbohydrate sulfotransferase 10
212405_s_at	1.25e-06	7.38e-09	7.154033	10.211576	1.4928806	METTL13	methyltransferase like 13
222021_x_at	1.42e-06	8.61e-09	7.108033	10.062607	0.6818686	SDHAP2///SDHAP1	succinate dehydrogenase complex flavoprotein subunit A pseudogene 2///succinate dehydrogenase complex flavoprotein subunit A pseudogene 1
201887_at	1.42e-06	8.65e-09	-7.106525	10.057723	-2.8776351	IL13RA1	interleukin 13 receptor subunit alpha 1
219213_at	1.42e-06	8.66e-09	7.106307	10.057015	1.0005278	JAM2	junctional adhesion molecule 2
205743_at	1.42e-06	8.68e-09	7.105537	10.054521	1.0513059	STAC	SH3 and cysteine rich domain
202191_s_at	1.47e-06	9.06e-09	-7.092695	10.012909	-2.564301	GAS7	growth arrest specific 7
204866_at	1.53e-06	9.48e-09	7.079118	9.968908	1.2482212	JADE3	jade family PHD finger 3
205262_at	1.69e-06	1.05e-08	7.047939	9.867827	2.2181783	KCNH2	potassium voltage-gated channel subfamily H member 2
218957_s_at	1.69e-06	1.06e-08	7.046192	9.862164	1.1012366	PAAF1	proteasomal ATPase associated factor 1
201553_s_at	1.75e-06	1.11e-08	-7.033202	9.820034	-0.754907	LAMP1	lysosomal associated membrane protein 1
219648_at	1.77e-06	1.13e-08	7.026665	9.79883	2.1958832	MREG	melanoregulin
211701_s_at	1.83e-06	1.18e-08	7.01459	9.759661	1.2467752	TRO	trophinin
201700_at	1.83e-06	1.18e-08	-7.01265	9.753367	-0.8942754	CCND3	cyclin D3
206116_s_at	1.85e-06	1.20e-08	7.008338	9.739376	1.5300051	TPM1	tropomyosin 1 (alpha)
221096_s_at	1.88e-06	1.23e-08	7.001218	9.716272	1.1135882	TMCO6	transmembrane and coiled-coil domains 6
202780_at	1.90e-06	1.26e-08	6.994628	9.694889	1.2705267	OXCT1	3-oxoacid CoA-transferase 1
216997_x_at	1.90e-06	1.26e-08	-6.993262	9.690456	-1.6891058	TLE4	transducin like enhancer of split 4
208734_x_at	1.91e-06	1.27e-08	-6.990714	9.682187	-1.1127452	RAB2A	RAB2A, member RAS oncogene family
209434_s_at	1.94e-06	1.30e-08	6.984274	9.661283	1.0789567	PPAT	phosphoribosyl pyrophosphate amidotransferase
210036_s_at	2.02e-06	1.37e-08	6.969713	9.61402	1.6855609	KCNH2	potassium voltage-gated channel subfamily H member 2
217743_s_at	2.03e-06	1.39e-08	-6.965664	9.600876	-1.5236419	TMEM30A	transmembrane protein 30A
209083_at	2.03e-06	1.40e-08	-6.963665	9.594385	-1.556373	CORO1A	coronin 1A
219033_at	2.03e-06	1.40e-08	-6.961708	9.588032	-2.6462411	PARP8	poly(ADP-ribose) polymerase family member 8
219651_at	2.07e-06	1.44e-08	6.953991	9.562975	1.683309	DPPA4	developmental pluripotency associated 4
218618_s_at	2.08e-06	1.45e-08	-6.951336	9.554354	-1.8782758	LOC101928615///FNDC3B	uncharacterized LOC101928615///fibronectin type III domain containing 3B
205704_s_at	2.15e-06	1.53e-08	6.936852	9.507318	2.1432945	ATP6V0A2	ATPase H+ transporting V0 subunit a2
204957_at	2.15e-06	1.53e-08	6.936695	9.506809	2.0009582	ORC5	origin recognition complex subunit 5
217975_at	2.17e-06	1.55e-08	6.932634	9.493619	2.9441561	TCEAL9	transcription elongation factor A like 9
218889_at	2.22e-06	1.60e-08	6.922702	9.461359	2.0328872	NOC3L	NOC3 like DNA replication regulator
207871_s_at	2.22e-06	1.60e-08	6.922397	9.460368	1.9364502	MIR6132///ST7-OT3///ST7	microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7
209586_s_at	2.26e-06	1.65e-08	6.914427	9.43448	1.2762995	PRUNE1	prune exopolyphosphatase
208773_s_at	2.42e-06	1.77e-08	6.89264	9.363692	0.895894	ANKHD1-EIF4EBP3///ANKHD1	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1
218711_s_at	2.48e-06	1.82e-08	6.883893	9.335265	2.3537468	SDPR	serum deprivation response
218729_at	2.50e-06	1.85e-08	6.879527	9.321078	1.9648096	LXN	latexin
212441_at	2.51e-06	1.87e-08	-6.876449	9.311073	-1.2578812	KIAA0232	KIAA0232
217916_s_at	2.73e-06	2.05e-08	-6.849511	9.223508	-1.1216624	FAM49B	family with sequence similarity 49 member B
215412_x_at	2.90e-06	2.18e-08	6.830141	9.160529	1.0841127	PMS2P8	PMS1 homolog 2, mismatch repair system component pseudogene 8
210987_x_at	2.94e-06	2.23e-08	6.823557	9.139118	1.7431361	TPM1	tropomyosin 1 (alpha)
209183_s_at	3.07e-06	2.34e-08	6.808918	9.091511	2.6162233	C10orf10	chromosome 10 open reading frame 10
203167_at	3.08e-06	2.37e-08	-6.806256	9.082853	-2.1484302	TIMP2	TIMP metallopeptidase inhibitor 2
214752_x_at	3.19e-06	2.47e-08	-6.793669	9.04191	-1.2448722	FLNA	filamin A
209949_at	3.19e-06	2.48e-08	-6.792779	9.039016	-4.2850385	NCF2	neutrophil cytosolic factor 2
210240_s_at	3.19e-06	2.49e-08	-6.791174	9.033794	-1.6965961	CDKN2D	cyclin dependent kinase inhibitor 2D
206571_s_at	3.23e-06	2.54e-08	-6.784805	9.013074	-1.2419992	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
209362_at	3.23e-06	2.55e-08	6.783965	9.010343	1.8364711	LOC101928625///MED21	uncharacterized LOC101928625///mediator complex subunit 21
201093_x_at	3.26e-06	2.59e-08	6.778967	8.994082	0.8261312	SDHA	succinate dehydrogenase complex flavoprotein subunit A
202478_at	3.40e-06	2.73e-08	6.763513	8.9438	3.199444	TRIB2	tribbles pseudokinase 2
205382_s_at	3.40e-06	2.73e-08	-6.763299	8.943105	-4.180633	CFD	complement factor D
221649_s_at	3.42e-06	2.77e-08	6.758906	8.928808	0.5754682	PPAN-P2RY11///PPAN	PPAN-P2RY11 readthrough///peter pan homolog (Drosophila)
211152_s_at	3.42e-06	2.77e-08	6.75877	8.928368	0.7784685	HTRA2	HtrA serine peptidase 2
200742_s_at	3.42e-06	2.81e-08	-6.755036	8.916217	-1.5080172	TPP1	tripeptidyl peptidase 1
213514_s_at	3.42e-06	2.81e-08	-6.754937	8.915893	-1.0409891	DIAPH1	diaphanous related formin 1
213685_at	3.49e-06	2.89e-08	6.747105	8.890406	0.8735184	TCEB3-AS1	TCEB3 antisense RNA 1
218065_s_at	3.49e-06	2.89e-08	-6.746106	8.887156	-0.8282301	TMEM9B	TMEM9 domain family member B
203320_at	3.56e-06	2.97e-08	-6.738713	8.863095	-1.257213	SH2B3	SH2B adaptor protein 3
218285_s_at	3.56e-06	2.99e-08	6.736431	8.855669	1.28741	BDH2	3-hydroxybutyrate dehydrogenase, type 2
217987_at	3.62e-06	3.06e-08	6.730046	8.834887	0.9560653	ASNSD1	asparagine synthetase domain containing 1
64900_at	3.82e-06	3.24e-08	6.71292	8.77914	0.5520906	TMEM231	transmembrane protein 231
221493_at	3.83e-06	3.28e-08	6.709124	8.766785	1.0128965	TSPYL1	TSPY like 1
221021_s_at	3.83e-06	3.28e-08	6.70892	8.766121	1.0737581	CTNNBL1	catenin beta like 1
217947_at	3.83e-06	3.30e-08	-6.707296	8.760834	-0.7408304	CMTM6	CKLF like MARVEL transmembrane domain containing 6
221269_s_at	3.92e-06	3.40e-08	-6.698544	8.73234	-1.3106642	SH3BGRL3	SH3 domain binding glutamate rich protein like 3
209062_x_at	4.06e-06	3.53e-08	-6.686692	8.693752	-1.1260992	NCOA3	nuclear receptor coactivator 3
211450_s_at	4.33e-06	3.79e-08	6.666175	8.626945	2.0281521	MSH6	mutS homolog 6
214054_at	4.50e-06	3.96e-08	-6.652866	8.583606	-1.6742111	DOK2	docking protein 2
208940_at	4.51e-06	3.99e-08	6.650918	8.57726	0.6744491	SEPHS1	selenophosphate synthetase 1
203041_s_at	4.65e-06	4.14e-08	-6.6399	8.541376	-1.4161153	LAMP2	lysosomal associated membrane protein 2
201678_s_at	4.65e-06	4.15e-08	6.63872	8.537534	1.0161155	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific
200736_s_at	4.90e-06	4.40e-08	-6.621706	8.482115	-0.8440082	GPX1	glutathione peroxidase 1
204204_at	5.07e-06	4.58e-08	-6.609579	8.442614	-1.8959029	SLC31A2	solute carrier family 31 member 2
205063_at	5.07e-06	4.60e-08	6.608328	8.438537	1.0541785	GEMIN2	gem nuclear organelle associated protein 2
43427_at	5.24e-06	4.77e-08	6.597497	8.403254	1.0176486	ACACB	acetyl-CoA carboxylase beta
215165_x_at	5.35e-06	4.90e-08	6.589349	8.376711	1.471184	UMPS	uridine monophosphate synthetase
203104_at	5.35e-06	4.92e-08	-6.588103	8.37265	-2.4834914	CSF1R	colony stimulating factor 1 receptor
214756_x_at	5.46e-06	5.05e-08	6.58055	8.348043	0.7849499	PMS2P1	PMS1 homolog 2, mismatch repair system component pseudogene 1
204150_at	5.48e-06	5.10e-08	-6.577817	8.33914	-3.5671313	STAB1	stabilin 1
213889_at	5.48e-06	5.12e-08	6.576492	8.334821	1.0433387	PIGL	phosphatidylinositol glycan anchor biosynthesis class L
220637_at	5.48e-06	5.14e-08	6.575215	8.330659	2.1995837	FAM124B	family with sequence similarity 124 member B
218646_at	5.50e-06	5.18e-08	6.572943	8.323257	1.5869663	HPF1	histone PARylation factor 1
201414_s_at	5.56e-06	5.28e-08	6.567443	8.305337	0.7109199	NAP1L4	nucleosome assembly protein 1 like 4
212043_at	5.56e-06	5.29e-08	-6.566834	8.303355	-0.734336	TGOLN2	trans-golgi network protein 2
219641_at	5.56e-06	5.32e-08	6.565082	8.297646	0.8939537	DET1	de-etiolated homolog 1 (Arabidopsis)
212975_at	5.65e-06	5.43e-08	-6.5589	8.277503	-1.1196823	DENND3	DENN domain containing 3
208970_s_at	5.66e-06	5.46e-08	6.557237	8.272084	1.4086255	UROD	uroporphyrinogen decarboxylase
218318_s_at	5.91e-06	5.73e-08	6.542904	8.225378	1.2392464	NLK	nemo like kinase
201129_at	5.91e-06	5.76e-08	6.541531	8.220907	1.7672173	SRSF7	serine and arginine rich splicing factor 7
217835_x_at	5.93e-06	5.80e-08	-6.53922	8.213376	-0.9538474	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24
219244_s_at	6.06e-06	5.95e-08	6.531536	8.188335	1.1555073	MRPL46	mitochondrial ribosomal protein L46
217792_at	6.20e-06	6.12e-08	6.523473	8.162059	1.5275179	SNX5	sorting nexin 5
209128_s_at	6.61e-06	6.55e-08	6.502945	8.095162	0.7373036	SART3	squamous cell carcinoma antigen recognized by T-cells 3
202732_at	6.61e-06	6.58e-08	6.501662	8.090978	2.5464585	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
219624_at	6.63e-06	6.64e-08	-6.499105	8.082645	-1.8070114	BAG4	BCL2 associated athanogene 4
219625_s_at	6.64e-06	6.68e-08	-6.497491	8.077386	-1.2729391	COL4A3BP	collagen type IV alpha 3 binding protein
215667_x_at	6.65e-06	6.71e-08	6.495888	8.072161	0.8107079	PMS2P9///PMS2P5	PMS1 homolog 2, mismatch repair system component pseudogene 9///PMS1 homolog 2, mismatch repair system component pseudogene 5
216262_s_at	6.78e-06	6.88e-08	6.488656	8.048592	1.2144367	TGIF2	TGFB induced factor homeobox 2
218504_at	6.80e-06	6.93e-08	6.486449	8.041399	1.5757621	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A
213234_at	6.99e-06	7.15e-08	6.476988	8.010562	0.9020348	FAM234B	family with sequence similarity 234 member B
205767_at	7.12e-06	7.32e-08	6.470247	7.988591	4.3449794	EREG	epiregulin
219067_s_at	7.21e-06	7.44e-08	6.465109	7.971846	0.8855359	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component
202428_x_at	7.24e-06	7.50e-08	-6.462653	7.963839	-1.0484899	DBI	diazepam binding inhibitor, acyl-CoA binding protein
203003_at	7.28e-06	7.57e-08	-6.459896	7.954853	-1.2360899	MEF2D	myocyte enhancer factor 2D
204487_s_at	7.58e-06	7.94e-08	-6.445716	7.908636	-2.0635893	KCNQ1	potassium voltage-gated channel subfamily Q member 1
212928_at	7.58e-06	7.96e-08	6.44516	7.906824	1.2253057	TSPYL4	TSPY like 4
207550_at	7.87e-06	8.32e-08	6.431839	7.863403	3.1607762	MPL	MPL proto-oncogene, thrombopoietin receptor
218442_at	7.87e-06	8.34e-08	6.431394	7.861953	0.6455801	TTC4	tetratricopeptide repeat domain 4
203257_s_at	8.10e-06	8.62e-08	6.421608	7.830054	1.1070809	C11orf49	chromosome 11 open reading frame 49
214061_at	8.11e-06	8.66e-08	6.419963	7.824694	1.6575679	TBC1D31	TBC1 domain family member 31
